BR,DEALNO,SEQ,FIXINCIND,AETRAD,ASSIGNIND,BVAMORTAMT,BVINTAMT,BRPRCINDTE,BROK,BROKFEEAMT,BROKFEECCY,CHARGEAMT,CLEARDATE,CLEARINPUTDATE,CLEAROPER,COMMAMT,COMMRATE_8,COMREFNO,CONFDATE,CONFOPER,COST,COUPONNO,CCYAUTHDATE,CCYAUTHIND,CCYAUTHOPER,CCY,CNO,CUSTCONFDATE,CUSTREFNO,DEALDATE,DEALSRCE,DEALTEXT,DEALTIME,DISCAMT,DISCRATE_8,DISPRICE_8,FACEAMT,FAILDATE,FAILINPUTDATE,FAILOPER,FAILINTAMT,FEEAMT,GAINAMT,INPUTDATE,IOPER,INPUTTIME,INVTYPE,LINKORDERNO,LINKSEQ,LOSSAMT,MUTFUNDIND,ORIGAMT,ORIGQTY,PORT,PREMAMT,PRICE_8,PRINAMT,PRINAGIND,PROCEEDAMT,PRODUCT,PRODTYPE,PS,PURCHINTAMT,QTY,REVDATE,REVOPER,REVREASON,REVTEXT,REVTIME,SECSACCT,SECAUTHDATE,SECAUTHIND,SECAUTHOPER,SECID,SERIES,CCYSACCT,SETTDATE,CCYSMEANS,SPREADRATE_8,SUPPCONFIND,SYMBOLID,VATAMT,TRAD,VERIND,VERDATE,VOPER,WHENISSIND,YIELD_8,EXCHCNO,EXCHCOMMAMT,EXCHCCY,CNARR,FROMDAYS,TODAYS,DELAYDELIVIND,ISSUER,RATCNO,CRATING,RATECODE,AGENCY,WHTAMT,EXCHIND,OFFASSAMT,ESTAMT,ASSIGNEDQTY,CONVINTAMT,CONVINTBAMT,SETTAMT,SETTBASEAMT,COSTAMT,COSTBAMT,INTCCY,SETTCCY,SETTPROCEXCHRATE_8,SETTPROCTERMS,SETTPROCPREMDISC_8,INTSETTEXCHRATE_8,INTSETTTERMS,INTSETTPREMDISC_8,SETTBASEEXCHRATE_8,SETTBASETERMS,SETTBASEPREMDISC_8,INTBASEEXCHRATE_8,INTBASETERMS,INTBASEPREMDISC_8,AMENDDATE,AMENDTIME,AMENDOPER,FEDEALNO,INTERNALYIELD_8,INTERNALDISCRATE_8,INTERNALPRICE_8,INTERNALPROCEEDAMT,INTERNALSPREADRATE_8,MARKUPCOMMAMT,AMORTYIELD_8,AMORTIND,PLEDGEID,PAIREDFACEAMT,PAIREDAMT,PAIREDIND,CURRSPLITSEQ,UPDATECOUNTER,BTBDEALNO,BTBPORT,USUALID,LINKDEALNO,LINKIND,BLOCKIND,SPLITIND,INDEXRATIO_8,SWIFTBOTHIND,NEWISSUEIND,CCPIND,EXTCOMPARE,NOVFACEAMT,PAYMENTHOLDIND,CONVIND,EXTBSKTID,EXTCONVID,SRIND,EXCISEAMT,INTRADAY,CONTYPE,DWH_ENTRY_DATE
1,ID487,0,1,    ,1,0,0,09/10/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,09/10/2025,1,HOGU,GBP,ID00320,,                ,09/10/2025,D         ,                                                                      ,14:32:13,-120254,4,0,13000000,,,    ,0,0,0,09/10/2025,ELMA,14:32:13,H,        ,    ,0, ,0,13000000,BCAP,0,99,-13000000,P,-12879746,SECUR ,TB,P,0,13000000,,    ,  ,                                                                      ,        ,887123,09/10/2025,1,HOGU,GB00XXXXXX01,,BNYGBP         ,13/10/2025,NOS    ,0,2,        ,0,ELMA,1,09/10/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,Y,           ,           ,          ,       ,           ,0,N,0,0,13000000,0,0,-12879746,-12879746,-12879746,-12879746,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID491,0,1,    ,1,0,0,15/10/2025,           ,0,USD,0,,,    ,0,0,                ,,    ,1000000000,       ,15/10/2025,1,HOGU,USD,ID00414,,                ,15/10/2025,D         ,                                                                      ,14:42:40,-44952,4,0,5000000,,,    ,0,0,0,15/10/2025,ELMA,14:42:40,H,        ,    ,0, ,0,5000000,BCAP,0,99,-5000000,P,-4955048,SECUR ,TB,P,0,5000000,,    ,  ,                                                                      ,        ,887123,15/10/2025,1,HOGU,US00XXXXXX02,,BNYUSD         ,16/10/2025,NOS    ,0,2,        ,0,ELMA,1,15/10/2025,GUNA, ,4,           ,0,   ,FRNYUS33                                                              ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000,0,0,-4955048,-4955048,-4955048,-4955048,USD,USD,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID496,0,1,    ,1,0,0,17/10/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,17/10/2025,1,HOGU,GBP,ID00320,,                ,16/08/2024,D         ,                                                                      ,10:07:23,-36595,4,0,4000000,,,    ,0,0,0,17/10/2025,ELMA,10:07:23,H,        ,    ,0, ,0,4000000,BCAP,0,99,-4000000,P,-3963406,SECUR ,TB,P,0,4000000,20/10/2025,ELMA,99,                                                                      ,07:58:38,887123,17/10/2025,1,HOGU,GB00XXXXXX05,,BNYGBP         ,20/10/2025,NOS    ,0,2,        ,0,ELMA,1,17/10/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,Y,           ,           ,          ,       ,           ,0,N,0,0,4000000,0,0,-3963406,-3963406,-3963406,-3963406,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID498,0,1,    ,1,0,0,20/10/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,20/10/2025,1,HOGU,GBP,ID00320,,                ,17/10/2025,D         ,                                                                      ,10:07:23,-36595,4,0,4000000,,,    ,0,0,0,20/10/2025,ELMA,07:54:51,H,        ,    ,0, ,0,4000000,BCAP,0,99,-4000000,P,-3963406,SECUR ,TB,P,0,4000000,,    ,  ,                                                                      ,        ,887123,20/10/2025,1,HOGU,GB00XXXXXX05,,BNYGBP         ,20/10/2025,NOS    ,0,2,        ,0,ELMA,1,20/10/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,4000000,0,0,-3963406,-3963406,-3963406,-3963406,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID504,0,1,    ,1,0,0,24/10/2025,           ,0,USD,0,,,    ,0,0,                ,,    ,1000000000,       ,24/10/2025,1,HOGU,USD,ID00414,,                ,24/10/2025,D         ,                                                                      ,09:47:57,-90276,4,0,10000000,,,    ,0,0,0,24/10/2025,ELMA,09:47:57,H,        ,    ,0, ,0,10000000,BCAP,0,99,-10000000,P,-9909724,SECUR ,TB,P,0,10000000,,    ,  ,                                                                      ,        ,887123,24/10/2025,1,HOGU,US00XXXXXX01,,BNYUSD         ,28/10/2025,NOS    ,0,2,        ,0,ELMA,1,24/10/2025,GUNA, ,4,           ,0,   ,FRNYUS33                                                              ,    ,    ,Y,           ,           ,          ,       ,           ,0,N,0,0,10000000,0,0,-9909724,-9909724,-9909724,-9909724,USD,USD,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID508,0,1,    ,1,0,0,31/10/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,31/10/2025,1,HOGU,GBP,ID00320,,                ,31/10/2025,D         ,                                                                      ,14:51:17,-44952,4,0,5000000,,,    ,0,0,0,31/10/2025,ELES,14:51:17,H,        ,    ,0, ,0,5000000,BCAP,0,99,-5000000,P,-4955048,SECUR ,TB,P,0,5000000,,    ,  ,                                                                      ,        ,887123,31/10/2025,1,HOGU,GB00XXXXXX02,,BNYGBP         ,03/11/2025,NOS    ,0,2,        ,0,ELES,1,31/10/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000,0,0,-4955048,-4955048,-4955048,-4955048,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID509,0,1,    ,1,0,0,31/10/2025,           ,0,USD,0,,,    ,0,0,                ,,    ,1000000000,       ,31/10/2025,1,HOGU,USD,ID00414,,                ,31/10/2025,D         ,                                                                      ,14:54:06,-89428,4,0,10000000,,,    ,0,0,0,31/10/2025,ELMA,14:54:06,H,        ,    ,0, ,0,10000000,BCAP,0,99,-10000000,P,-9910572,SECUR ,TB,P,0,10000000,,    ,  ,                                                                      ,        ,887123,31/10/2025,1,HOGU,US00XXXXXX03,,BNYUSD         ,04/11/2025,NOS    ,0,2,        ,0,ELMA,1,31/10/2025,GUNA, ,4,           ,0,   ,FRNYUS33                                                              ,    ,    ,Y,           ,           ,          ,       ,           ,0,N,0,0,10000000,0,0,-9910572,-9910572,-9910572,-9910572,USD,USD,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID552,0,1,    ,1,0,0,31/12/2025,           ,0,USD,0,,,    ,0,0,                ,,    ,1000000000,       ,31/12/2025,1,HOGU,USD,ID00446,,                ,31/12/2025,D         ,                                                                      ,10:56:25,-20258,4,0,5000000,,,    ,0,0,0,31/12/2025,ELMA,10:56:25,H,        ,    ,0, ,0,5000000,BCAP,0,100,-5000000,P,-4979742,SECUR ,TB,P,0,5000000,,    ,  ,                                                                      ,        ,887123,31/12/2025,1,HOGU,US00XXXXXX04,,BNYUSD         ,02/01/2026,NOS    ,0,2,        ,0,ELMA,1,31/12/2025,HANN, ,4,           ,0,   ,FRNYUS33                                                              ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000,0,0,-4979742,-4979742,-4979742,-4979742,USD,USD,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID553,0,1,    ,1,0,0,31/12/2025,           ,0,USD,0,,,    ,0,0,                ,,    ,1000000000,       ,31/12/2025,1,HOGU,USD,ID00319,,                ,31/12/2025,D         ,                                                                      ,11:29:23,-11488,3,0,20000000,,,    ,0,0,0,31/12/2025,ELMA,11:29:23,H,        ,    ,0, ,0,20000000,BCAP,0,100,-20000000,P,-19988512,SECUR ,TB,P,0,20000000,,    ,  ,                                                                      ,        ,887123,31/12/2025,1,HOGU,US00XXXXXX05,,BNYUSD         ,31/12/2025,NOS    ,0,2,        ,0,ELMA,1,31/12/2025,HANN, ,3,           ,0,   ,FRNYUS33                                                              ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,20000000,0,0,-19988512,-19988512,-19988512,-19988512,USD,USD,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID555,0,1,    ,1,0,0,02/01/2026,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,02/01/2026,1,HOGU,GBP,ID00467,,                ,02/01/2026,D         ,                                                                      ,12:58:22,-93563,4,0,13000000,,,    ,0,0,0,02/01/2026,ELMA,12:58:23,H,        ,    ,0, ,0,13000000,BCAP,0,99,-13000000,P,-12906437,SECUR ,TB,P,0,13000000,,    ,  ,                                                                      ,        ,887123,02/01/2026,1,HOGU,GB00XXXXXX09,,BNYGBP         ,05/01/2026,NOS    ,0,2,        ,0,ELMA,1,02/01/2026,HANN, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,13000000,0,0,-12906437,-12906437,-12906437,-12906437,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID556,0,1,    ,1,0,0,05/01/2026,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,,0,    ,GBP,ID00044,,                ,05/01/2026,D         ,REDEMPTION                                                            ,17:30:21,0,0,0,13000000,,,    ,0,0,0,02/01/2026,SYS1,17:30:21,H,        ,    ,0, ,0,13000000,BCAP,0,100,13000000,P,13000000,SECUR ,TB,S,0,13000000,,    ,  ,                                                                      ,        ,887123,,0,    ,GB00XXXXXX01,,               ,05/01/2026,       ,0,2,        ,0,REDE,1,05/01/2026,SYS1, ,0,           ,0,   ,                                                                      ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,13000000,0,0,13000000,13000000,13000000,13000000,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,4,0,0,0,0,0,0,0,0,                              ,0,0,0,0,1,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID520,0,1,    ,1,0,0,07/11/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,07/11/2025,1,HOGU,GBP,ID00320,,                ,07/11/2025,D         ,                                                                      ,11:31:46,-53983,4,0,6000000,,,    ,0,0,0,07/11/2025,ELMA,11:31:47,H,        ,    ,0, ,0,6000000,BCAP,0,99,-6000000,P,-5946017,SECUR ,TB,P,0,6000000,,    ,  ,                                                                      ,        ,887123,07/11/2025,1,HOGU,GB00XXXXXX06,,BNYGBP         ,10/11/2025,NOS    ,0,2,        ,0,ELMA,1,07/11/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,6000000,0,0,-5946017,-5946017,-5946017,-5946017,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID526,0,1,    ,1,0,0,14/11/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,14/11/2025,1,COKE,GBP,ID00467,,                ,14/11/2025,D         ,                                                                      ,12:12:32,-44704,4,0,5000000,,,    ,0,0,0,14/11/2025,ELMA,12:12:32,H,        ,    ,0, ,0,5000000,BCAP,0,99,-5000000,P,-4955296,SECUR ,TB,P,0,5000000,,    ,  ,                                                                      ,        ,887123,14/11/2025,1,COKE,GB00XXXXXX07,,BNYGBP         ,17/11/2025,NOS    ,0,2,        ,0,ELMA,1,14/11/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000,0,0,-4955296,-4955296,-4955296,-4955296,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID532,0,1,    ,1,0,0,21/11/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,21/11/2025,1,HOGU,GBP,ID00320,,                ,21/11/2025,D         ,                                                                      ,09:22:15,-44500,4,0,5000000,,,    ,0,0,0,21/11/2025,ELMA,09:22:15,H,        ,    ,0, ,0,5000000,BCAP,0,99,-5000000,P,-4955500,SECUR ,TB,P,0,5000000,,    ,  ,                                                                      ,        ,887123,21/11/2025,1,HOGU,GB00XXXXXX08,,BNYGBP         ,24/11/2025,NOS    ,0,2,        ,0,ELMA,1,21/11/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000,0,0,-4955500,-4955500,-4955500,-4955500,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID535,0,1,    ,1,0,0,28/11/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,28/11/2025,1,HOGU,GBP,ID00320,,                ,16/08/2024,D         ,                                                                      ,14:09:19,-44138,4,0,5000000,,,    ,0,0,0,28/11/2025,ELMA,14:09:20,H,        ,    ,0, ,0,5000000,BMM ,0,99,-5000000,P,-4955862,SECUR ,TB,P,0,5000000,02/12/2025,ELES,IE,                                                                      ,16:07:22,887123,28/11/2025,1,HOGU,GB00XXXXXX03,,BNYGBP         ,01/12/2025,NOS    ,0,2,        ,0,ELMA,1,28/11/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,Y,           ,           ,          ,       ,           ,0,N,0,0,5000000,0,0,-4955862,-4955862,-4955862,-4955862,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID538,0,1,    ,1,0,0,02/12/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,02/12/2025,1,HOGU,GBP,ID00320,,                ,28/11/2025,D         ,                                                                      ,14:09:19,-44138,4,0,5000000,,,    ,0,0,0,02/12/2025,ELES,16:06:32,H,        ,    ,0, ,0,5000000,BMM ,0,99,-5000000,P,-4955862,SECUR ,TB,P,0,5000000,,    ,  ,                                                                      ,        ,887123,02/12/2025,1,HOGU,GB00XXXXXX03,,BNYGBP         ,01/12/2025,NOS    ,0,2,        ,0,ELES,1,02/12/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,5000000,0,0,-4955862,-4955862,-4955862,-4955862,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,3,        ,    ,               ,        , , ,0,0,1,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID547,0,1,    ,1,0,0,19/12/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,19/12/2025,1,COKE,GBP,ID00394,,                ,19/12/2025,D         ,                                                                      ,11:41:52,-80212,4,0,10000000,,,    ,0,0,0,19/12/2025,ELMA,11:41:52,H,        ,    ,0, ,0,10000000,BCAP,0,99,-10000000,P,-9919788,SECUR ,TB,P,0,10000000,,    ,  ,                                                                      ,        ,887123,19/12/2025,1,COKE,GB00XXXXXX04,,BNYGBP         ,22/12/2025,NOS    ,0,2,        ,0,ELMA,1,19/12/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,10000000,0,0,-9919788,-9919788,-9919788,-9919788,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57
1,ID550,0,1,    ,1,0,0,22/12/2025,           ,0,GBP,0,,,    ,0,0,                ,,    ,1000000000,       ,22/12/2025,1,COKE,GBP,ID00467,,                ,22/12/2025,D         ,                                                                      ,11:11:24,-81150,4,0,40000000,,,    ,0,0,0,22/12/2025,ELMA,11:11:24,H,        ,    ,0, ,0,40000000,BCAP,0,100,-40000000,P,-39918850,SECUR ,TB,P,0,40000000,,    ,  ,                                                                      ,        ,887123,22/12/2025,1,COKE,GB00XXXXXX05,,BNYGBP         ,23/12/2025,NOS    ,0,2,        ,0,ELMA,1,22/12/2025,GUNA, ,4,           ,0,   ,CRSTGB22XXX                                                           ,    ,    ,N,           ,           ,          ,       ,           ,0,N,0,0,40000000,0,0,-39918850,-39918850,-39918850,-39918850,GBP,GBP,1,M,0,1,M,0,1,M,0,1,M,0,,        ,    ,               ,0,0,0,0,0,0,0,0,                              ,0,0,0,0,4,        ,    ,               ,        , , ,0,0,0,N,N,N,0,0, ,                    ,               ,,0,0,0,01/02/2026 18:57